Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Dolar
2020-04-30 00:00:00-03:00,5.1,5.22,5.02,5.12,80263900.0,0.0,0.0,5.49
2020-05-04 00:00:00-03:00,4.94,4.99,4.87,4.93,60268400.0,0.0,0.0,5.48
2020-05-05 00:00:00-03:00,5.07,5.24,5.06,5.08,75043400.0,0.0,0.0,5.54
2020-05-06 00:00:00-03:00,5.06,5.12,4.9,4.9,67937500.0,0.0,0.0,5.58
2020-05-07 00:00:00-03:00,5.03,5.06,4.92,4.94,81265100.0,0.0,0.0,5.72
2020-05-08 00:00:00-03:00,5.03,5.27,5.02,5.24,83232700.0,0.0,0.0,5.83
2020-05-11 00:00:00-03:00,5.19,5.36,5.13,5.14,65061500.0,0.0,0.0,5.48
2020-05-12 00:00:00-03:00,5.25,5.34,5.14,5.14,71837200.0,0.0,0.0,5.82
2020-05-13 00:00:00-03:00,5.17,5.2,4.97,4.98,87222300.0,0.0,0.0,5.88
2020-05-14 00:00:00-03:00,4.93,4.95,4.74,4.93,119653200.0,0.0,0.0,5.89
2020-05-15 00:00:00-03:00,5.1,5.15,4.86,4.86,133733100.0,0.0,0.0,5.81
2020-05-18 00:00:00-03:00,5.13,5.25,5.08,5.25,116999500.0,0.0,0.0,5.86
2020-05-19 00:00:00-03:00,5.25,5.36,5.22,5.29,80131600.0,0.0,0.0,5.72
2020-05-20 00:00:00-03:00,5.41,5.51,5.4,5.47,74595100.0,0.0,0.0,5.76
2020-05-21 00:00:00-03:00,5.53,5.6,5.4,5.44,81327000.0,0.0,0.0,5.69
2020-05-22 00:00:00-03:00,5.33,5.36,5.2,5.29,71259400.0,0.0,0.0,5.55
2020-05-25 00:00:00-03:00,5.52,5.54,5.46,5.52,38033000.0,0.0,0.0,5.53
2020-05-26 00:00:00-03:00,5.66,5.69,5.48,5.57,68716900.0,0.0,0.0,5.44
2020-05-27 00:00:00-03:00,5.61,5.65,5.43,5.65,74790800.0,0.0,0.0,5.34
2020-05-28 00:00:00-03:00,5.58,5.69,5.51,5.6,65023000.0,0.0,0.0,5.27
2020-05-29 00:00:00-03:00,5.54,5.76,5.47,5.76,128832600.0,0.0,0.0,5.4
2020-06-01 00:00:00-03:00,5.71,5.83,5.67,5.76,86579500.0,0.0,0.0,5.33
2020-06-02 00:00:00-03:00,5.88,6.06,5.84,6.06,77235100.0,0.0,0.0,5.37
2020-06-03 00:00:00-03:00,6.2,6.21,6.07,6.08,86219700.0,0.0,0.0,5.2
2020-06-04 00:00:00-03:00,6.06,6.17,5.96,6.07,107401400.0,0.0,0.0,5.06
2020-06-05 00:00:00-03:00,6.32,6.53,6.25,6.26,114137700.0,0.0,0.0,5.12
2020-06-08 00:00:00-03:00,6.39,6.4,6.24,6.38,82444400.0,0.0,0.0,4.96
2020-06-09 00:00:00-03:00,6.24,6.25,6.13,6.16,96488300.0,0.0,0.0,4.82
2020-06-10 00:00:00-03:00,6.2,6.21,5.95,6.06,102551100.0,0.0,0.0,4.9
2020-06-12 00:00:00-03:00,5.84,6.0,5.7,5.84,116746700.0,0.0,0.0,4.97
2020-06-15 00:00:00-03:00,5.61,5.98,5.54,5.87,99931000.0,0.0,0.0,4.97
2020-06-16 00:00:00-03:00,6.11,6.21,6.0,6.06,94510600.0,0.0,0.0,5.05
2020-06-17 00:00:00-03:00,6.09,6.19,5.99,6.08,63268700.0,0.0,0.0,5.15
2020-06-18 00:00:00-03:00,6.0,6.17,5.97,6.12,56893300.0,0.0,0.0,5.24
2020-06-19 00:00:00-03:00,6.23,6.3,6.01,6.08,91139800.0,0.0,0.0,5.23
2020-06-22 00:00:00-03:00,6.12,6.12,5.92,5.94,45419000.0,0.0,0.0,5.38
2020-06-23 00:00:00-03:00,6.01,6.25,5.99,6.14,78950900.0,0.0,0.0,5.31
2020-06-24 00:00:00-03:00,6.09,6.11,5.87,5.95,65162400.0,0.0,0.0,5.25
2020-06-25 00:00:00-03:00,5.93,6.08,5.87,6.08,47263500.0,0.0,0.0,5.15
2020-06-26 00:00:00-03:00,6.01,6.08,5.89,5.91,55499300.0,0.0,0.0,5.35
2020-06-29 00:00:00-03:00,5.98,6.14,5.93,6.14,59809600.0,0.0,0.0,5.36
2020-06-30 00:00:00-03:00,6.05,6.18,5.98,6.11,65010600.0,0.0,0.0,5.48
2020-07-01 00:00:00-03:00,6.16,6.31,6.1,6.15,78983900.0,0.0,0.0,5.4
2020-07-02 00:00:00-03:00,6.26,6.29,6.2,6.25,56345900.0,0.0,0.0,5.46
2020-07-03 00:00:00-03:00,6.22,6.29,6.18,6.23,24060000.0,0.0,0.0,5.32
