Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Dolar
2020-04-30 00:00:00-03:00,25.36,25.61,24.83,24.89,25720300.0,0.0,0.0,5.49
2020-05-04 00:00:00-03:00,24.24,24.59,24.08,24.37,16994300.0,0.0,0.0,5.48
2020-05-05 00:00:00-03:00,24.66,24.98,24.24,24.24,19070600.0,0.0,0.0,5.54
2020-05-06 00:00:00-03:00,24.51,24.83,24.19,24.59,26602700.0,0.0,0.0,5.58
2020-05-07 00:00:00-03:00,25.31,26.06,25.21,25.55,42194300.0,0.0,0.0,5.72
2020-05-08 00:00:00-03:00,26.35,27.16,26.06,27.1,33922800.0,0.0,0.0,5.83
2020-05-11 00:00:00-03:00,26.75,27.32,26.48,26.48,24783100.0,0.0,0.0,5.48
2020-05-12 00:00:00-03:00,26.87,26.96,26.33,26.33,21806900.0,0.0,0.0,5.82
2020-05-13 00:00:00-03:00,26.72,27.28,26.44,26.93,34159500.0,0.0,0.0,5.88
2020-05-14 00:00:00-03:00,26.6,26.88,26.04,26.68,35513400.0,0.0,0.0,5.89
2020-05-15 00:00:00-03:00,27.01,27.35,26.66,26.66,35196100.0,0.0,0.0,5.81
2020-05-18 00:00:00-03:00,27.93,28.63,27.71,28.44,41936200.0,0.0,0.0,5.86
2020-05-19 00:00:00-03:00,28.46,29.24,28.34,29.01,27704400.0,0.0,0.0,5.72
2020-05-20 00:00:00-03:00,29.61,29.77,29.12,29.12,27014500.0,0.0,0.0,5.76
2020-05-21 00:00:00-03:00,29.01,29.21,27.94,28.36,41802300.0,0.0,0.0,5.69
2020-05-22 00:00:00-03:00,28.17,28.35,27.68,27.89,23933600.0,0.0,0.0,5.55
2020-05-25 00:00:00-03:00,28.52,28.67,27.69,27.79,21162000.0,0.0,0.0,5.53
2020-05-26 00:00:00-03:00,27.95,28.03,27.09,27.29,28917800.0,0.0,0.0,5.44
2020-05-27 00:00:00-03:00,27.65,28.2,27.06,28.09,31932100.0,0.0,0.0,5.34
2020-05-28 00:00:00-03:00,28.29,28.65,27.77,27.79,23530900.0,0.0,0.0,5.27
2020-05-29 00:00:00-03:00,28.51,29.4,28.33,29.4,92646300.0,0.0,0.0,5.4
2020-06-01 00:00:00-03:00,29.3,29.87,29.12,29.64,27152300.0,0.0,0.0,5.33
2020-06-02 00:00:00-03:00,29.85,29.85,29.4,29.64,25602700.0,0.0,0.0,5.37
2020-06-03 00:00:00-03:00,29.9,30.15,29.61,29.77,31584300.0,0.0,0.0,5.2
2020-06-04 00:00:00-03:00,29.8,30.9,29.69,30.88,37638600.0,0.0,0.0,5.06
2020-06-05 00:00:00-03:00,31.28,31.45,30.15,30.3,39799100.0,0.0,0.0,5.12
2020-06-08 00:00:00-03:00,30.5,30.87,29.95,30.39,27456500.0,0.0,0.0,4.96
2020-06-09 00:00:00-03:00,30.05,30.51,30.02,30.51,19860000.0,0.0,0.0,4.82
2020-06-10 00:00:00-03:00,30.46,30.62,29.82,30.07,24321300.0,0.0,0.0,4.9
2020-06-12 00:00:00-03:00,29.8,29.98,28.84,29.62,31223700.0,0.0,0.0,4.97
2020-06-15 00:00:00-03:00,29.12,30.2,28.92,29.89,27425600.0,0.0,0.0,4.97
2020-06-16 00:00:00-03:00,30.78,30.79,30.08,30.73,29329400.0,0.0,0.0,5.05
2020-06-17 00:00:00-03:00,30.78,31.31,30.6,31.18,27840000.0,0.0,0.0,5.15
2020-06-18 00:00:00-03:00,31.23,31.37,30.85,31.16,25770000.0,0.0,0.0,5.24
2020-06-19 00:00:00-03:00,31.25,31.4,30.35,30.61,38079900.0,0.0,0.0,5.23
2020-06-22 00:00:00-03:00,30.51,30.71,30.2,30.51,14891400.0,0.0,0.0,5.38
2020-06-23 00:00:00-03:00,30.81,31.38,30.72,30.84,18272700.0,0.0,0.0,5.31
2020-06-24 00:00:00-03:00,31.21,31.21,30.41,30.73,18156600.0,0.0,0.0,5.25
2020-06-25 00:00:00-03:00,30.79,31.15,30.44,31.07,17051900.0,0.0,0.0,5.15
2020-06-26 00:00:00-03:00,31.01,31.59,30.63,30.86,21655500.0,0.0,0.0,5.35
2020-06-29 00:00:00-03:00,30.76,31.02,30.42,30.86,15453400.0,0.0,0.0,5.36
2020-06-30 00:00:00-03:00,30.76,31.37,30.52,31.02,27462900.0,0.0,0.0,5.48
2020-07-01 00:00:00-03:00,31.11,31.11,29.98,30.26,28999400.0,0.0,0.0,5.4
2020-07-02 00:00:00-03:00,30.43,30.92,30.37,30.78,24148500.0,0.0,0.0,5.46
2020-07-03 00:00:00-03:00,30.62,30.9,30.47,30.66,7831800.0,0.0,0.0,5.32
2020-07-06 00:00:00-03:00,31.12,31.48,30.84,31.38,23609900.0,0.0,0.0,5.36
2020-07-07 00:00:00-03:00,31.48,31.61,31.12,31.27,13598400.0,0.0,0.0,5.31
2020-07-08 00:00:00-03:00,31.57,32.02,30.95,31.8,32634600.0,0.0,0.0,5.35
2020-07-09 00:00:00-03:00,31.91,32.0,31.1,31.3,19741600.0,0.0,0.0,5.38
2020-07-10 00:00:00-03:00,31.36,31.79,31.16,31.6,14728100.0,0.0,0.0,5.34
2020-07-13 00:00:00-03:00,32.03,32.85,31.98,31.98,28780200.0,0.0,0.0,5.34
2020-07-14 00:00:00-03:00,32.13,34.38,32.12,34.23,52234500.0,0.0,0.0,5.33
2020-07-15 00:00:00-03:00,34.56,34.91,33.5,34.28,29833100.0,0.0,0.0,5.4
2020-07-16 00:00:00-03:00,34.01,34.22,33.2,33.35,22788400.0,0.0,0.0,5.37
2020-07-17 00:00:00-03:00,33.56,33.98,33.46,33.86,18896400.0,0.0,0.0,5.37
2020-07-20 00:00:00-03:00,33.91,34.11,33.48,33.73,16491500.0,0.0,0.0,5.33
2020-07-21 00:00:00-03:00,33.53,33.55,32.88,33.12,29043600.0,0.0,0.0,5.39
2020-07-22 00:00:00-03:00,33.25,33.42,32.62,32.86,19644700.0,0.0,0.0,5.33
2020-07-23 00:00:00-03:00,33.23,33.37,32.53,32.65,17291900.0,0.0,0.0,5.17
2020-07-24 00:00:00-03:00,32.49,32.65,32.08,32.51,22544100.0,0.0,0.0,5.12
2020-07-27 00:00:00-03:00,32.79,34.19,32.72,34.05,35124800.0,0.0,0.0,5.21
2020-07-28 00:00:00-03:00,33.67,33.93,33.4,33.47,21707500.0,0.0,0.0,5.23
2020-07-29 00:00:00-03:00,33.96,34.92,33.76,34.92,29486600.0,0.0,0.0,5.14
2020-07-30 00:00:00-03:00,34.56,34.6,33.65,33.99,32210700.0,0.0,0.0,5.15
2020-07-31 00:00:00-03:00,33.9,34.51,33.56,33.68,26318800.0,0.0,0.0,5.17
2020-08-03 00:00:00-03:00,34.32,34.77,33.43,33.43,35910500.0,0.0,0.0,5.15
2020-08-04 00:00:00-03:00,33.43,33.75,32.93,33.67,182535800.0,0.0,0.0,5.22
2020-08-05 00:00:00-03:00,34.34,34.89,34.31,34.5,36999600.0,0.0,0.0,5.32
2020-08-06 00:00:00-03:00,34.74,34.88,34.0,34.3,22468400.0,0.0,0.0,5.29
2020-08-07 00:00:00-03:00,34.06,34.06,33.16,33.54,28427400.0,0.0,0.0,5.29
2020-08-10 00:00:00-03:00,33.67,34.51,33.51,34.51,29341400.0,0.0,0.0,5.33
2020-08-11 00:00:00-03:00,34.83,34.85,33.37,33.44,23822800.0,0.0,0.0,5.44
2020-08-12 00:00:00-03:00,33.77,34.56,33.61,34.12,29627900.0,0.0,0.0,5.48
2020-08-13 00:00:00-03:00,34.06,34.48,33.35,33.48,24906200.0,0.0,0.0,5.38
2020-08-14 00:00:00-03:00,33.48,34.08,33.45,34.03,17848800.0,0.0,0.0,5.43
2020-08-17 00:00:00-03:00,34.27,34.73,33.92,34.52,42786400.0,0.0,0.0,5.37
2020-08-18 00:00:00-03:00,35.12,35.34,34.87,34.98,32205700.0,0.0,0.0,5.42
2020-08-19 00:00:00-03:00,35.18,35.44,34.58,34.61,23537900.0,0.0,0.0,5.51
2020-08-20 00:00:00-03:00,34.3,35.23,34.21,34.92,25866600.0,0.0,0.0,5.47
2020-08-21 00:00:00-03:00,34.62,34.83,34.12,34.51,27242700.0,0.0,0.0,5.56
2020-08-24 00:00:00-03:00,34.92,35.02,34.53,34.93,17944700.0,0.0,0.0,5.56
2020-08-25 00:00:00-03:00,34.84,34.86,33.87,34.18,23543000.0,0.0,0.0,5.62
2020-08-26 00:00:00-03:00,34.21,34.59,33.97,34.26,23924400.0,0.0,0.0,5.61
2020-08-27 00:00:00-03:00,34.22,34.5,33.47,33.72,18201900.0,0.0,0.0,5.51
2020-08-28 00:00:00-03:00,33.94,34.23,33.64,33.9,15040300.0,0.0,0.0,5.61
2020-08-31 00:00:00-03:00,33.9,33.92,33.11,33.11,31080000.0,0.0,0.0,5.57
